ID,Gender,Agecat,Group,DQScore
301,2,5,2,21
302,2,1,2,22
303,1,2,2,23
304,2,5,1,25
305,1,4,1,26
306,1,5,1,30
307,2,5,1,31
308,2,5,1,31
309,2,3,1,31
310,1,1,1,33
311,2,1,1,33
312,2,4,2,34
313,2,4,2,35
314,1,,2,35
315,2,4,2,35
316,2,5,2,36
317,2,5,1,37
318,2,4,1,37
319,1,1,2,38
320,2,3,2,38
321,,,1,39
322,1,4,1,40
323,2,4,1,41
324,2,2,2,41
325,2,2,2,41
326,2,4,1,43
327,,,1,44
328,2,5,1,44
329,1,,2,44
330,2,1,1,45
331,,,2,45
332,2,5,1,47
333,,,2,47
334,,,2,48
335,2,,2,48
336,2,4,2,49
337,2,4,2,49
338,1,5,1,50
339,1,5,1,51
340,2,4,1,51
341,,,2,52
342,2,4,2,54
343,2,2,2,54
344,,,2,54
345,,,2,54
346,2,2,2,54
347,,,1,55
348,2,5,2,58
349,2,2,2,59
350,2,5,2,59
351,2,4,1,60
352,2,2,1,60
353,2,5,2,60
354,2,3,2,60
355,,,2,60
356,1,3,2,60
357,2,2,2,60
358,2,2,2,60
359,2,2,2,60
360,2,2,2,62
361,2,2,2,62
362,2,3,1,63
363,2,2,2,63
364,2,2,2,64
365,2,2,2,65
366,1,5,2,65
367,,,2,65
368,2,2,2,65
369,2,2,2,66
370,1,4,2,66
371,2,3,2,66
372,2,2,1,67
373,1,1,2,67
374,2,5,2,67
375,1,4,2,68
376,1,4,2,68
377,2,3,2,68
378,2,1,2,69
379,2,4,2,71
380,2,4,2,72
381,,,2,73
382,2,3,2,73
383,2,2,2,73
384,,5,2,74
385,2,3,2,75
386,2,3,2,76
387,2,5,1,77
388,2,,2,77
389,1,1,2,77
390,2,3,2,78
391,2,3,2,79
392,2,2,2,79
393,,,2,85
394,2,2,2,89
